epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6669.62,0.86233,0.51616,1.04112,0.9386,0.95245,0.98056,0.78375,0.72415,0.43574,0.9736,0.000371375,0.000371375,0.000371375
73,6762.62,0.87773,0.50296,1.0396,0.94722,0.95249,0.98037,0.7892,0.716,0.42125,0.96942,0.000359,0.000359,0.000359
74,6855.99,0.85958,0.50953,1.02829,0.93421,0.96074,0.97726,0.787,0.72283,0.4439,0.97274,0.000346625,0.000346625,0.000346625
75,6948.32,0.85056,0.50261,1.02363,0.94254,0.9583,0.98263,0.79343,0.718,0.41857,0.96965,0.00033425,0.00033425,0.00033425
76,7040.52,0.86532,0.49945,1.03618,0.93355,0.96173,0.98083,0.78538,0.72999,0.4468,0.97362,0.000321875,0.000321875,0.000321875
77,7133.54,0.8454,0.50701,1.02469,0.93464,0.96401,0.98133,0.79306,0.7016,0.41276,0.95896,0.0003095,0.0003095,0.0003095
78,7226.1,0.85244,0.49516,1.02341,0.93844,0.96896,0.98302,0.79382,0.70019,0.4086,0.96066,0.000297125,0.000297125,0.000297125
79,7317.95,0.83958,0.48658,1.02207,0.94903,0.96304,0.98035,0.7974,0.69443,0.4279,0.95713,0.00028475,0.00028475,0.00028475
80,7411.13,0.83362,0.48391,1.01395,0.94178,0.96214,0.98057,0.80011,0.68908,0.40337,0.95372,0.000272375,0.000272375,0.000272375
81,7504.94,0.83871,0.4845,1.02343,0.94471,0.96183,0.98118,0.80181,0.6784,0.39269,0.95143,0.00026,0.00026,0.00026
82,7597.38,0.82769,0.47883,1.01083,0.93757,0.97259,0.98237,0.80334,0.67691,0.38701,0.95024,0.000247625,0.000247625,0.000247625
83,7689.83,0.81697,0.47459,1.01751,0.95285,0.95686,0.98285,0.80365,0.67314,0.37941,0.94801,0.00023525,0.00023525,0.00023525
84,7782.22,0.82435,0.46905,1.01135,0.94301,0.96696,0.98173,0.80607,0.67863,0.38669,0.94781,0.000222875,0.000222875,0.000222875
85,7877.17,0.81938,0.46436,1.01461,0.94689,0.96451,0.98317,0.80623,0.66808,0.37447,0.94296,0.0002105,0.0002105,0.0002105
86,7972.31,0.80846,0.46563,1.00637,0.95251,0.9596,0.98365,0.81118,0.66229,0.39009,0.94067,0.000198125,0.000198125,0.000198125
87,8067.1,0.82008,0.45691,1.01173,0.94213,0.97417,0.98327,0.81225,0.6566,0.35938,0.93788,0.00018575,0.00018575,0.00018575
88,8164.4,0.79161,0.45944,1.00096,0.94899,0.96702,0.98382,0.81179,0.65188,0.36165,0.93518,0.000173375,0.000173375,0.000173375
89,8260.07,0.80592,0.44592,0.99962,0.95761,0.96096,0.98443,0.81298,0.64587,0.35652,0.93214,0.000161,0.000161,0.000161
90,8354.96,0.78322,0.4496,0.99784,0.9566,0.96454,0.98466,0.81345,0.64676,0.35595,0.93219,0.000148625,0.000148625,0.000148625
91,8447.26,0.76207,0.43422,0.99971,0.95501,0.96928,0.98513,0.80972,0.65205,0.35005,0.93377,0.00013625,0.00013625,0.00013625
92,8538.39,0.75474,0.39098,0.98805,0.95612,0.96882,0.9857,0.81498,0.64709,0.3516,0.93211,0.000123875,0.000123875,0.000123875
93,8630.04,0.74413,0.40022,0.98851,0.96175,0.96663,0.98607,0.81773,0.6442,0.34971,0.92942,0.0001115,0.0001115,0.0001115
94,8722.53,0.73827,0.38081,0.98379,0.96233,0.96366,0.98588,0.81797,0.64267,0.35138,0.92894,9.9125e-05,9.9125e-05,9.9125e-05
95,8813.75,0.73444,0.37631,0.98061,0.96161,0.97097,0.9862,0.82169,0.63837,0.34128,0.92582,8.675e-05,8.675e-05,8.675e-05
96,8904.71,0.73118,0.37465,0.98073,0.96454,0.96874,0.9868,0.82542,0.62938,0.33496,0.92211,7.4375e-05,7.4375e-05,7.4375e-05
97,8994.73,0.72075,0.36919,0.97505,0.96235,0.97421,0.9864,0.82413,0.62443,0.33378,0.91928,6.2e-05,6.2e-05,6.2e-05
98,9084.97,0.73963,0.372,0.98228,0.95905,0.97692,0.98646,0.8248,0.62546,0.33564,0.92011,4.9625e-05,4.9625e-05,4.9625e-05
99,9178.12,0.7173,0.36566,0.97357,0.96266,0.97907,0.98696,0.82816,0.62259,0.32981,0.91784,3.725e-05,3.725e-05,3.725e-05
100,9267.13,0.71866,0.36114,0.97245,0.96515,0.97692,0.9866,0.82741,0.62044,0.32809,0.91735,2.4875e-05,2.4875e-05,2.4875e-05
